   ,title,gender_book,author_book,,,,,
223,Professores-leitores e sua  formação,FORMAÇÃO DO PROFESSOR,Ludmila Tomé de Andrade,,,,,
224,Dicionário de verbos e regimes,DICIONÁRIOS,Francisco Fernandes,,,,,
225,Dicionário de verbos e regimes,DICIONÁRIOS,Francisco Fernandes,,,,,
226,Dicionário Etimológico da língua portuguesa,DICIONÁRIOS,Antônio Geraldo da Cunha,,,,,
227,Dicionário de regimes de substantivos e adjetivos,DICIONÁRIOS,Francisco Fernandes,,,,,
228,Dicionário de regimes de substantivos e adjetivos,DICIONÁRIOS,Francisco Fernandes,,,,,
229,Dicionário de sinônimos e antônimos.,DICIONÁRIOS,Francisco Fernandes,,,,,
,,,,,,,,
230,Dicionário de sinônimos e antônimos.,DICIONÁRIOS,Francisco Fernandes,,,,,
,,,,,,,,
N.º do Reg.,TÍTULO,,AUTOR,,,,,
231,Dicionário de dificuldades da língua portuguesa,DICIONÁRIOS,Domingos Paschoal Cegala,,,,,
232,Português básico,LINGUAGENS,Adriano da Gama Kury,,,,,
233,Dicionário Prático de Regência Verbal,DICIONÁRIOS,Celso Pedro Luft,,,,,
234,"Dicionário de nomes, termos e conceitos históricos",DICIONÁRIOS,Antônio Carlos do Amaral Azevedo,,,,,
235,Dicionário de termos e expressões da música.,DICIONÁRIOS,Henrique Autran Dourado,,,,,
236,Dicionário Crítico de escritoras brasileiras,DICIONÁRIOS,Nelly Novaes Coelho,,,,,
237,Novo guia ortográfico ,LINGUAGENS,Celso Pedro Luft,,,,,
238,Novo guia ortográfico ,LINGUAGENS,Celso Pedro Luft,,,,,
239,Ortografia: ensinar e aprender,LINGUAGENS,Artur Gomes de Morais,,,,,
240,Ortografia: ensinar e aprender,LINGUAGENS,Artur Gomes de Morais,,,,,
241,Literatura oral no Brasil,LITERATURA,Luis da Câmara Cascudo,,,,,
242,Literatura oral no Brasil,LITERATURA,Luis da Câmara Cascudo,,,,,
243,Gabriel Garcia Márquez – Viagem à semente – uma biografia,BIOGRAFIA,Dasso Saldívar,,,,,
244,"Como identificar, prevenir e combater a Violência Sexual contra crianças e adolescentes",FORMAÇÃO DO PROFESSOR,-,,,,,
245,Introdução à semântica: brincando com a gramática,LINGUAGENS,Rodolfo Ilari,,,,,
246,Introdução à semântica: brincando com a gramática,LINGUAGENS,Rodolfo Ilari,,,,,
247,Introdução ao estudo do léxico: brincando com as palavras,LINGUAGENS,Rodolfo Ilari,,,,,
,,,,,,,,
,,,,,,,,
248,Introdução ao estudo do léxico: brincando com as palavras,LINGUAGENS,Rodolfo Ilari,,,,,
249,Literatura brasileira - a arte da palavra  (Com CD- ROM),LITERATURA,Francisco Mário Viceconti Costa (Coord.),,,,,
N.º do Reg.,TÍTULO,,AUTOR,,,,,
250,Literatura brasileira e os vestibulares,LITERATURA,Francisco Mário Viceconti Costa (Coord.),,,,,
251,Fábula brasileira ou fábula saborosa,LITERATURA,Lúcia Pimentel Góes,,,,,
252,Fábula brasileira ou fábula saborosa,LITERATURA,Lúcia Pimentel Góes,,,,,
253,Letramento Matemático no Brasil - habilidades matemáticas,MATEMÁTICA,Maria Conceição F. R. Fonseca,,,,,
254,Letramento Matemático no Brasil - habilidades matemáticas,MATEMÁTICA,Maria Conceição F. R. Fonseca,,,,,
255,Leitura: inferências e contexto sociocultural.,LINGUAGENS,Regina Lúcia Peret Dellisola,,,,,
256,Leitura: inferências e contexto sociocultural.,LINGUAGENS,Regina Lúcia Peret Dellisola,,,,,
257,Estrutura e funcionamento do ensino médio.,FORMAÇÃO DO PROFESSOR,Nelson Piletti,,,,,
258,Estrutura e funcionamento do ensino médio.,FORMAÇÃO DO PROFESSOR,Nelson Piletti,,,,,
259,O jogo discursivo da aula de leitura: língua materna ,LINGUAGENS,Maria José Coracini (Org.),,,,,
260,O jogo discursivo da aula de leitura: língua materna ,LINGUAGENS,Maria José Coracini (Org.),,,,,
261,Não erre mais! Português agradável e descomplicado - 29 ª Ed.,LINGUAGENS,Luiz Antonio Sacconi,,,,,
262,Não erre mais! Português agradável e descomplicado - 29 ª Ed.,LINGUAGENS,Luiz Antonio Sacconi,,,,,
263,Não erre mais! Testes e exercícios,LINGUAGENS,Luiz Antonio Sacconi,,,,,
264,Não erre mais! Testes e exercícios,LINGUAGENS,Luiz Antonio Sacconi,,,,,
